cisp,mes,ano,mes_ano,aisp,risp,munic,mcirc,regiao,hom_doloso,lesao_corp_morte,latrocinio,cvli,hom_por_interv_policial,feminicidio,letalidade_violenta,tentat_hom,tentativa_feminicidio,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_transeunte,roubo_celular,roubo_em_coletivo,roubo_rua,roubo_veiculo,roubo_carga,roubo_comercio,roubo_residencia,roubo_banco,roubo_cx_eletronico,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,total_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,total_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,posse_drogas,trafico_drogas,apreensao_drogas_sem_autor,recuperacao_veiculos,apf,aaapai,cmp,cmba,ameaca,pessoas_desaparecidas,encontro_cadaver,encontro_ossada,pol_militares_mortos_serv,pol_civis_mortos_serv,registro_ocorrencias,fase
54,1,2021,2021-01-01,39,3,Belford Roxo,3300456,Baixada Fluminense,19,0,0,19,16,,35,14,,125,8,3,26,110,24,27,161,116,17,3,0,0,1.0,0,1,0.0,43,342,23,8,1,9,0.0,40,81,0,1,0,53,22,1.0,19.0,2.0,53,67.0,9.0,14.0,1.0,116,8,0,0,0,0,1017,3
55,1,2021,2021-01-01,24,3,Queimados,3304144,Baixada Fluminense,3,0,0,3,2,,5,3,,73,10,1,9,27,26,7,60,7,1,1,1,0,0.0,0,0,0.0,9,79,10,5,2,15,1.0,35,68,0,0,0,24,1,0.0,1.0,0.0,6,4.0,0.0,5.0,0.0,60,6,1,0,0,0,413,3
56,1,2021,2021-01-01,20,3,Nova Iguaçu,3303500,Baixada Fluminense,3,0,0,3,0,,3,4,,131,11,6,27,58,38,15,111,44,3,5,4,0,0.0,0,1,0.0,26,194,16,1,2,2,0.0,29,50,0,2,0,45,8,5.0,3.0,0.0,15,20.0,2.0,7.0,1.0,94,7,2,0,0,0,686,3
57,1,2021,2021-01-01,20,3,Nilópolis,3303203,Baixada Fluminense,1,0,0,1,0,,1,1,,59,3,0,10,49,42,6,97,60,1,3,1,0,1.0,0,1,0.0,16,180,12,4,0,13,1.0,36,66,0,0,0,20,3,0.0,3.0,0.0,6,13.0,3.0,7.0,0.0,61,3,0,0,0,0,513,3
58,1,2021,2021-01-01,20,3,Nova Iguaçu,3303500,Baixada Fluminense,11,0,1,12,0,,12,10,,157,16,6,21,47,27,15,89,47,5,6,3,0,0.0,0,1,0.0,30,181,16,1,0,10,0.0,42,69,0,3,0,26,7,4.0,3.0,0.0,18,27.0,3.0,9.0,0.0,139,9,0,0,0,0,784,3
59,1,2021,2021-01-01,15,3,Duque de Caxias,3301702,Baixada Fluminense,10,0,0,10,7,,17,17,,122,17,1,26,234,15,49,298,127,11,6,1,0,0.0,0,0,0.0,62,505,47,24,4,12,0.0,106,193,0,1,0,63,4,3.0,1.0,0.0,49,47.0,3.0,13.0,0.0,117,11,0,0,0,0,1290,3
60,1,2021,2021-01-01,15,3,Duque de Caxias,3301702,Baixada Fluminense,6,1,0,7,1,,8,3,,82,15,3,13,79,26,41,146,104,25,4,1,0,1.0,0,0,0.0,30,311,19,5,0,3,1.0,23,51,0,0,0,25,6,0.0,6.0,0.0,25,34.0,2.0,17.0,0.0,59,5,1,0,0,0,698,3
61,1,2021,2021-01-01,15,3,Duque de Caxias,3301702,Baixada Fluminense,5,0,0,5,2,,7,2,,21,4,1,3,6,1,0,7,3,1,1,0,0,0.0,0,0,0.0,1,13,3,1,0,2,1.0,6,13,0,0,0,5,0,0.0,0.0,0.0,1,6.0,0.0,1.0,0.0,21,0,1,0,0,0,101,3
62,1,2021,2021-01-01,15,3,Duque de Caxias,3301702,Baixada Fluminense,8,0,0,8,1,,9,2,,49,5,2,8,58,12,10,80,32,5,3,0,0,0.0,1,4,0.0,18,143,10,2,1,3,0.0,21,37,0,5,0,15,8,1.0,7.0,0.0,19,10.0,5.0,11.0,0.0,37,8,0,0,0,0,399,3
63,1,2021,2021-01-01,24,3,Japeri,3302270,Baixada Fluminense,8,0,0,8,6,,14,6,,35,0,1,6,10,5,1,16,3,0,1,3,0,0.0,0,0,0.0,3,26,1,1,0,1,0.0,15,18,0,3,0,7,10,3.0,7.0,0.0,7,15.0,2.0,3.0,0.0,22,4,2,0,0,0,186,3
64,1,2021,2021-01-01,21,3,São João de Meriti,3305109,Baixada Fluminense,14,0,1,15,4,,19,29,,141,14,2,55,122,50,61,233,153,24,9,1,0,3.0,0,2,0.0,42,467,29,14,6,7,0.0,93,149,0,3,0,160,21,5.0,15.0,1.0,17,70.0,7.0,6.0,0.0,117,10,0,0,0,0,1417,3
65,1,2021,2021-01-01,34,3,Magé,3302502,Baixada Fluminense,4,0,0,4,2,,6,7,,23,4,0,6,7,0,1,8,1,1,2,0,0,0.0,0,0,0.0,1,13,1,0,0,1,0.0,8,10,0,0,0,7,16,1.0,14.0,1.0,4,13.0,5.0,3.0,0.0,30,3,0,0,0,0,171,3
